query	anton_grade	gpt4v_naive_grade	human_0_grade	human_1_grade	article_id
cool olja round	2	2	2	2	220365007
cool olja round	1	1	0	0	574715001
cool olja round	0	0	0	0	776378001
cool olja round	0	0	0	0	721143001
cool olja round	0	0	0	0	823904001
cool olja round	0	0	0	0	776376001
cool olja round	1	1	0	0	738077002
cool olja round	0	1	0	0	817055001
cool olja round	1	1	1	0	369796023
cropped leather jacket	1	0	1	0	641190001
cropped leather jacket	1	1	1	0	797432001
cropped leather jacket	1	1	1	0	656975002
cropped leather jacket	1	1	1	0	799330001
cropped leather jacket	1	0	1	0	547718001
cropped leather jacket	1	1	0	0	865434001
cropped leather jacket	0	0	0	0	693508002
cropped leather jacket	0	1	1	0	882357001
cropped leather jacket	1	1	1	0	897221001
cropped leather jacket	0	1	1	0	764155001
dark beige trousers	2	2	1	0	660308009
dark beige trousers	0	2	0	0	764600002
dark beige trousers	2	2	2	2	762767003
dark beige trousers	2	2	2	2	902265003
dark beige trousers	2	2	1	2	728055001
dark beige trousers	0	2	1	2	540701011
dark beige trousers	2	2	2	2	837776001
dark beige trousers	2	2	1	2	629416001
dark beige trousers	2	2	1	2	884245002
dark beige trousers	2	2	1	2	834059002
dark ping t-shirt	0	1	0	0	602010002
dark ping t-shirt	0	0	0	0	653290014
dark ping t-shirt	0	0	1	0	757805005
dark ping t-shirt	0	0	1	0	535616010
dark ping t-shirt	0	1	0	0	386859027
dark ping t-shirt	0	0	0	0	570003026
dark ping t-shirt	2	1	2	0	570003070
dark ping t-shirt	0	1	0	0	702842010
dark ping t-shirt	0	1	0	0	702842008
dark ping t-shirt	0	1	0	0	653290001
dark zipped hoodie	2	1	1	2	790820008
dark zipped hoodie	2	2	1	2	732000001
dark zipped hoodie	2	2	1	2	622406006
dark zipped hoodie	2	2	1	2	867334001
dark zipped hoodie	2	1	2	2	790820004
dark zipped hoodie	2	2	2	2	616333001
dark zipped hoodie	2	2	0	0	616333003
dark zipped hoodie	0	0	0	0	651935001
dark zipped hoodie	2	2	2	2	576705001
dark zipped hoodie	2	2	2	2	594619001
divided blue denim jacket	2	2	2	2	640164001
divided blue denim jacket	2	2	2	2	678966004
divided blue denim jacket	1	1	1	2	555318004
divided blue denim jacket	2	2	2	2	554696001
divided blue denim jacket	2	2	2	2	434773001
divided blue denim jacket	2	2	2	2	840302001
divided blue denim jacket	2	2	2	2	579865001
divided blue denim jacket	2	2	2	2	678966005
divided blue denim jacket	2	2	2	2	829643005
divided blue denim jacket	2	2	2	2	829643004
down coat	1	2	2	0	550139001
down coat	2	2	2	0	816368001
down coat	2	2	2	1	654509001
down coat	2	2	2	1	639357002
down coat	0	0	0	0	776752002
down coat	2	2	2	1	811455001
down coat	2	2	1	0	740459001
down coat	2	2	1	0	917809001
down coat	2	2	2	1	639357001
down coat	0	1	0	0	889434001
earing	2	2	2	2	861617001
earing	2	1	2	2	902444001
earing	2	2	2	2	743202001
earing	2	2	2	2	851777001
earing	2	2	2	2	721141001
earing	2	2	2	2	707627004
earing	2	2	2	2	782542001
earing	2	1	2	2	762321001
earing	2	2	2	2	651901001
earing	2	2	2	2	730057001
earring	2	2	2	2	861617001
earring	2	2	2	2	707627004
earring	2	2	2	2	743202001
earring	2	2	2	2	721141001
earring	2	2	2	2	851777001
earring	2	2	2	2	730057001
earring	2	2	2	2	707627003
earring	2	2	2	2	661656003
earring	2	2	2	2	637894002
earring	2	2	2	2	587512001
fall outfits	0	1	0	2	797002001
fall outfits	1	2	0	1	700819006
fall outfits	2	2	2	0	795720003
fall outfits	1	1	2	0	822224001
fall outfits	2	2	2	2	687969001
fall outfits	2	2	2	2	863603002
fall outfits	2	2	2	2	806593001
fall outfits	1	1	0	1	555189001
fall outfits	2	2	2	2	863603001
fall outfits	2	2	0	1	700819002
flanel	2	2	2	2	799437009
flanel	2	1	2	2	770359002
flanel	2	1	2	2	770352003
flanel	2	2	2	2	770359001
flanel	2	2	2	2	799437007
flanel	2	1	2	2	770352004
flanel	2	2	2	2	751593001
flanel	2	2	2	2	770352002
flanel	2	1	2	2	702259001
flanel	2	1	2	2	799437001
fleece crew neck long-sleeve t-shirt	0	1	0	0	613827001
fleece crew neck long-sleeve t-shirt	1	1	0	0	768931014
fleece crew neck long-sleeve t-shirt	1	1	0	0	873041004
fleece crew neck long-sleeve t-shirt	1	0	0	0	516000088
fleece crew neck long-sleeve t-shirt	1	0	0	0	768931018
fleece crew neck long-sleeve t-shirt	1	1	0	0	516000093
fleece crew neck long-sleeve t-shirt	0	0	0	0	744938001
fleece crew neck long-sleeve t-shirt	1	1	0	0	516000039
fleece crew neck long-sleeve t-shirt	0	0	0	0	516000030
fleece crew neck long-sleeve t-shirt	0	0	0	0	768931006
glittering polo shirt	2	1	2	0	860553002
glittering polo shirt	2	2	1	0	395730016
glittering polo shirt	0	0	0	0	774012002
glittering polo shirt	0	0	0	0	774012001
glittering polo shirt	0	0	0	0	751214001
glittering polo shirt	2	1	2	0	718289002
glittering polo shirt	1	1	2	0	865929009
glittering polo shirt	0	0	0	0	573740004
glittering polo shirt	0	0	0	0	573740005
glittering polo shirt	0	0	0	0	751214003
h&m kids unicorn printed t-shirt	1	1	0	0	744109011
h&m kids unicorn printed t-shirt	1	1	2	2	567992035
h&m kids unicorn printed t-shirt	1	0	0	0	721929012
h&m kids unicorn printed t-shirt	1	1	2	2	567992037
h&m kids unicorn printed t-shirt	1	0	0	0	721929006
h&m kids unicorn printed t-shirt	1	1	0	0	498376019
h&m kids unicorn printed t-shirt	1	0	0	0	721929003
h&m kids unicorn printed t-shirt	1	1	2	0	806186002
h&m kids unicorn printed t-shirt	0	1	0	0	498376004
h&m kids unicorn printed t-shirt	1	1	2	2	744109006
halloween costume	2	2	2	2	763043001
halloween costume	2	2	2	2	796285001
halloween costume	0	0	0	1	789052001
halloween costume	2	2	2	2	762414001
halloween costume	1	1	1	2	789025001
halloween costume	1	1	1	2	534908002
halloween costume	0	1	0	0	842976005
halloween costume	1	1	1	2	793812001
halloween costume	1	1	1	2	633790002
halloween costume	1	1	1	2	661413001
home kids	1	1	0	0	695194001
home kids	1	1	0	0	771731002
home kids	1	1	0	0	791494001
home kids	1	0	0	0	803743004
home kids	1	1	0	0	791459002
home kids	1	1	0	0	686268001
home kids	1	0	0	0	796035004
home kids	1	1	0	0	736203003
home kids	1	1	0	0	684103001
home kids	1	1	0	0	686268004
homw decor	0	0	0	0	667300001
homw decor	0	0	0	0	622012001
homw decor	0	0	0	0	898192001
homw decor	0	0	0	0	517880014
homw decor	0	0	0	0	511802003
homw decor	0	0	0	0	825509009
homw decor	0	0	0	0	562299001
homw decor	0	0	0	0	565858002
homw decor	0	0	0	0	656980003
homw decor	0	0	0	0	659131001
jackets	2	2	2	0	689582001
jackets	2	2	2	2	563189006
jackets	2	2	2	2	613569011
jackets	2	2	2	2	851549002
jackets	2	2	2	2	563189005
jackets	2	2	1	0	852103002
jackets	2	2	1	0	903473001
jackets	2	2	2	2	563189004
jackets	2	2	2	2	563189009
jackets	2	2	1	2	639151001
jenes	0	0	0	0	742086008
jenes	1	1	0	0	776488003
jenes	0	0	0	0	625483004
jenes	0	1	0	0	776488002
jenes	0	0	0	0	863665003
jenes	0	0	0	0	863665002
jenes	0	0	0	0	863665004
jenes	0	0	0	0	625483002
jenes	0	0	0	0	615525005
jenes	0	0	0	0	841260006
kids chelsea boots	2	2	2	2	887561001
kids chelsea boots	2	2	2	2	765732001
kids chelsea boots	2	2	2	2	738745001
kids chelsea boots	2	2	2	2	746613003
kids chelsea boots	0	0	0	0	909320001
kids chelsea boots	0	0	0	0	887552003
kids chelsea boots	1	1	0	0	887552002
kids chelsea boots	1	1	0	0	779050002
kids chelsea boots	1	0	0	0	679008001
kids chelsea boots	0	1	0	0	887552001
kids' sandals	2	2	2	2	798028003
kids' sandals	2	2	2	2	701307006
kids' sandals	2	2	2	2	616229003
kids' sandals	2	2	2	2	857707001
kids' sandals	2	2	2	2	620608004
kids' sandals	2	2	2	2	610611001
kids' sandals	2	2	2	2	610631001
kids' sandals	2	2	2	2	620608001
kids' sandals	2	2	2	2	857707002
kids' sandals	2	2	2	2	567721003
laptop sleeve	2	2	2	2	420378005
laptop sleeve	0	2	1	0	650509003
laptop sleeve	0	0	0	0	618894011
laptop sleeve	0	0	0	0	721414004
laptop sleeve	0	0	0	0	721414003
laptop sleeve	1	2	1	0	790117001
laptop sleeve	0	0	0	0	618894013
laptop sleeve	0	0	0	0	702447002
laptop sleeve	2	2	1	2	622174003
laptop sleeve	0	0	0	0	618894012
light grey cap	2	2	2	2	694665002
light grey cap	2	2	2	2	565430002
light grey cap	2	2	1	1	703449001
light grey cap	2	2	2	2	781570010
light grey cap	2	2	2	2	391032007
light grey cap	2	2	2	1	825772001
light grey cap	2	2	2	2	838857002
light grey cap	2	2	1	2	781570002
light grey cap	2	2	2	2	801974004
light grey cap	2	2	2	2	625068009
linen trousers	2	2	2	2	733441002
linen trousers	2	2	2	2	733441003
linen trousers	2	2	2	2	733441001
linen trousers	0	2	2	2	620894001
linen trousers	2	2	2	2	718445003
linen trousers	2	2	2	2	718445002
linen trousers	2	2	2	2	718445005
linen trousers	2	2	2	2	759311003
linen trousers	2	2	2	2	759311006
linen trousers	2	2	2	2	759311001
liner for trench coat	0	0	0	0	733550001
liner for trench coat	0	0	0	0	876147003
liner for trench coat	0	0	0	0	695301001
liner for trench coat	0	0	2	0	927797001
liner for trench coat	0	0	0	0	639976001
liner for trench coat	0	0	0	0	869706006
liner for trench coat	0	0	0	0	668537001
liner for trench coat	0	0	0	0	639976002
liner for trench coat	0	0	0	0	903473003
liner for trench coat	0	0	0	0	869706005
logg men's striped shirt	1	1	1	0	596966001
logg men's striped shirt	1	1	1	0	547104002
logg men's striped shirt	1	1	1	0	495730001
logg men's striped shirt	1	1	1	0	547104005
logg men's striped shirt	1	1	0	0	835061004
logg men's striped shirt	1	1	0	0	586116001
logg men's striped shirt	1	1	0	0	586116007
logg men's striped shirt	1	1	0	0	586116006
logg men's striped shirt	1	1	0	0	835061001
logg men's striped shirt	1	1	0	0	586116002
malaga	1	2	2	2	561548012
malaga	2	2	2	2	561548008
malaga	2	2	2	2	642390002
malaga	2	2	2	2	620216037
malaga	1	2	2	2	620216046
malaga	1	2	2	2	620216016
malaga	2	2	2	2	620216023
malaga	2	2	2	2	620216049
malaga	2	2	2	2	620216042
malaga	1	2	2	2	620216039
marvel	0	0	0	0	636421002
marvel	0	0	0	0	637911004
marvel	0	0	0	0	481420010
marvel	0	0	0	0	613522001
marvel	0	0	0	0	702989004
marvel	0	0	0	0	702989003
marvel	0	0	0	0	631480005
marvel	0	0	0	0	639132003
marvel	0	0	0	0	710695008
marvel	0	0	0	0	632462009
melange sweater	2	2	2	2	551694001
melange sweater	2	2	2	2	504154020
melange sweater	2	2	2	2	531394002
melange sweater	2	2	2	2	504154037
melange sweater	2	2	2	2	539242002
melange sweater	2	2	2	2	821031002
melange sweater	2	2	2	2	778532002
melange sweater	2	2	2	2	629100002
melange sweater	2	2	2	2	701965002
melange sweater	2	2	2	2	714826003
men's chinos	2	2	2	2	825016002
men's chinos	2	2	2	2	794969001
men's chinos	2	2	2	2	825016001
men's chinos	2	2	2	2	716664002
men's chinos	2	2	2	2	710876023
men's chinos	2	2	2	2	710876024
men's chinos	2	2	2	2	710876003
men's chinos	2	2	2	2	710876031
men's chinos	1	2	2	2	690227002
men's chinos	1	2	2	0	690227004
metallic purple sunglasses	2	2	2	2	594978017
metallic purple sunglasses	2	2	2	2	369796026
metallic purple sunglasses	0	0	1	0	794889001
metallic purple sunglasses	0	1	1	0	739393002
metallic purple sunglasses	0	0	1	0	594978025
metallic purple sunglasses	0	0	1	0	594978005
metallic purple sunglasses	0	0	1	0	798842002
metallic purple sunglasses	0	0	1	0	369796032
metallic purple sunglasses	1	1	2	2	722923002
metallic purple sunglasses	2	1	2	1	818255002
microtights 2pk	1	2	1	0	734511005
microtights 2pk	1	2	1	2	734527003
microtights 2pk	0	2	1	2	734529002
microtights 2pk	2	2	2	2	777051001
microtights 2pk	1	2	1	2	734511003
microtights 2pk	2	2	2	2	287645029
microtights 2pk	2	2	2	2	287645002
microtights 2pk	2	2	2	2	287645003
microtights 2pk	2	2	2	2	287645031
microtights 2pk	2	2	2	2	287645027
microtights two pack	2	2	2	2	287645029
microtights two pack	2	2	2	2	287645002
microtights two pack	2	2	2	2	287645003
microtights two pack	2	2	2	2	287645031
microtights two pack	2	2	2	2	287645027
microtights two pack	2	2	2	2	777051001
microtights two pack	0	0	1	0	592383003
microtights two pack	1	1	1	0	705468001
microtights two pack	1	1	1	0	808363001
microtights two pack	0	0	1	0	592383002
music t-shirt	0	1	0	0	569996006
music t-shirt	0	1	0	0	513699006
music t-shirt	0	0	0	0	671436001
music t-shirt	0	1	0	0	579841001
music t-shirt	0	1	1	0	625877006
music t-shirt	0	1	1	0	625877003
music t-shirt	0	1	0	0	880001001
music t-shirt	0	0	0	0	600544002
music t-shirt	0	0	0	0	639214001
music t-shirt	0	1	0	0	569996001
office clothes	2	2	2	2	568601019
office clothes	2	2	2	2	682204001
office clothes	2	2	2	2	568601016
office clothes	2	2	2	2	649425001
office clothes	2	2	2	2	519079001
office clothes	2	2	2	2	734194001
office clothes	2	2	2	2	673703001
office clothes	2	2	2	2	881572006
office clothes	2	2	2	2	823791002
office clothes	2	2	2	2	497369001
pants for working	0	0	0	0	934312002
pants for working	0	0	0	0	934312001
pants for working	1	1	2	2	573566002
pants for working	0	0	0	0	555353018
pants for working	0	0	0	0	555353010
pants for working	2	0	2	2	575442001
pants for working	0	0	0	0	786542001
pants for working	0	0	2	2	900373001
pants for working	0	0	0	0	555353009
pants for working	0	0	0	0	725802005
pelle basic s/s jersey polo sb	1	1	1	1	718082004
pelle basic s/s jersey polo sb	1	2	1	2	588809006
pelle basic s/s jersey polo sb	1	2	1	1	718082006
pelle basic s/s jersey polo sb	1	1	1	1	718082005
pelle basic s/s jersey polo sb	2	2	2	2	265069020
pelle basic s/s jersey polo sb	2	2	2	2	265069012
pelle basic s/s jersey polo sb	2	2	2	2	265069014
pelle basic s/s jersey polo sb	2	2	2	2	265069025
pelle basic s/s jersey polo sb	2	2	2	2	265069026
pelle basic s/s jersey polo sb	2	2	2	2	265069024
picnic blanket	0	0	0	0	806299001
picnic blanket	0	0	0	0	650515001
picnic blanket	0	0	0	0	697635001
picnic blanket	0	0	0	0	757906006
picnic blanket	0	0	0	0	757906004
picnic blanket	0	0	0	0	646915001
picnic blanket	0	0	0	0	701600002
picnic blanket	0	0	0	0	757906005
picnic blanket	0	0	0	0	584710001
picnic blanket	0	0	0	0	740512002
pillow cover for 50x50 cm cushion	0	0	0	0	670590001
pillow cover for 50x50 cm cushion	0	0	0	0	869330001
pillow cover for 50x50 cm cushion	0	0	0	0	519169002
pillow cover for 50x50 cm cushion	0	0	0	0	869330004
pillow cover for 50x50 cm cushion	0	0	0	0	784526001
pillow cover for 50x50 cm cushion	0	0	0	0	519169003
pillow cover for 50x50 cm cushion	0	0	0	0	635772001
pillow cover for 50x50 cm cushion	0	0	0	0	869330003
pillow cover for 50x50 cm cushion	0	0	0	0	703442001
pillow cover for 50x50 cm cushion	0	0	0	0	819205001
plus sizes	0	0	2	2	672758003
plus sizes	0	1	2	2	850872001
plus sizes	1	1	2	2	745502001
plus sizes	0	0	2	2	672758001
plus sizes	0	0	2	2	672758002
plus sizes	0	0	2	2	813330001
plus sizes	0	1	2	2	763162001
plus sizes	1	1	2	2	745502002
plus sizes	2	2	2	2	654592001
plus sizes	2	1	2	2	732287001
protect phone from breaking	0	0	0	0	860986001
protect phone from breaking	2	1	2	2	647504001
protect phone from breaking	2	1	2	2	879385001
protect phone from breaking	2	1	2	2	647504002
protect phone from breaking	2	1	2	2	684206009
protect phone from breaking	2	1	2	2	583881001
protect phone from breaking	2	1	2	2	684206001
protect phone from breaking	0	1	0	0	633930001
protect phone from breaking	0	0	0	0	577542001
protect phone from breaking	2	1	2	2	879482001
pure cotton dressing gown	0	0	0	0	617405001
pure cotton dressing gown	0	0	1	0	592694001
pure cotton dressing gown	0	1	2	1	309434011
pure cotton dressing gown	1	1	2	0	309434010
pure cotton dressing gown	1	1	2	2	703339001
pure cotton dressing gown	0	0	2	1	309434006
pure cotton dressing gown	0	0	0	0	895451001
pure cotton dressing gown	0	0	0	0	651221001
pure cotton dressing gown	0	0	0	0	767579003
pure cotton dressing gown	0	0	0	0	651221002
ruffled sleeve blouse	1	1	2	0	782875001
ruffled sleeve blouse	1	1	0	2	717305001
ruffled sleeve blouse	1	2	1	2	599628001
ruffled sleeve blouse	0	1	2	0	782875003
ruffled sleeve blouse	1	1	2	2	596563002
ruffled sleeve blouse	1	1	2	0	825173001
ruffled sleeve blouse	1	1	2	0	825173002
ruffled sleeve blouse	1	1	2	2	597753007
ruffled sleeve blouse	0	1	2	0	869237002
ruffled sleeve blouse	1	2	2	0	689208003
sandra	2	2	2	2	859424004
sandra	2	2	2	2	859424001
sandra	2	2	2	2	859424003
sandra	2	2	2	2	270375001
sandra	2	2	2	2	647531001
sandra	2	2	2	2	751906003
sandra	2	2	2	2	695929001
sandra	2	2	2	2	270375005
sandra	2	2	2	2	651841002
sandra	2	2	2	2	751906001
sensuous tones underwear	2	1	2	2	619923001
sensuous tones underwear	1	1	2	2	798407007
sensuous tones underwear	1	1	1	2	605106001
sensuous tones underwear	2	1	2	2	605106010
sensuous tones underwear	2	1	1	2	605106006
sensuous tones underwear	1	1	2	2	798407008
sensuous tones underwear	1	1	2	2	798407010
sensuous tones underwear	1	1	1	2	605106002
sensuous tones underwear	1	1	2	2	798407001
sensuous tones underwear	2	1	2	2	666617009
shades	1	0	0	0	682196005
shades	1	0	0	0	682196003
shades	1	0	0	0	708031002
shades	1	0	0	0	708031001
shades	2	2	2	2	655026001
shades	1	0	0	0	708031003
shades	2	2	2	2	847924003
shades	2	2	2	2	561758010
shades	1	0	0	0	344625009
shades	2	2	2	2	659905001
shorts for biking	2	2	2	2	697098002
shorts for biking	2	2	2	2	670875001
shorts for biking	2	2	2	2	885898001
shorts for biking	2	2	2	2	809500005
shorts for biking	2	2	2	2	778062001
shorts for biking	2	2	2	2	809500002
shorts for biking	2	2	2	2	809500001
shorts for biking	2	2	2	2	827739001
shorts for biking	0	0	1	0	494570007
shorts for biking	2	2	2	2	774666003
shrits	0	0	0	0	880830001
shrits	0	0	0	0	658166001
shrits	2	0	0	2	670507001
shrits	0	0	0	0	715590006
shrits	0	0	0	0	637274002
shrits	0	0	0	0	910426001
shrits	0	0	2	2	757270001
shrits	0	0	0	0	762330001
shrits	2	1	2	2	689365030
shrits	0	0	0	0	254457033
slim fit stretch chinos	2	2	2	2	466595024
slim fit stretch chinos	2	2	2	2	466595001
slim fit stretch chinos	2	2	2	2	466595026
slim fit stretch chinos	2	2	2	2	928395002
slim fit stretch chinos	2	2	2	2	744306007
slim fit stretch chinos	2	2	2	2	815456008
slim fit stretch chinos	2	2	2	2	815456004
slim fit stretch chinos	2	2	2	2	744306008
slim fit stretch chinos	2	2	2	2	744306009
slim fit stretch chinos	2	2	2	2	744306004
socks	2	2	2	2	304786006
socks	2	2	2	2	807241018
socks	2	2	2	2	695662006
socks	2	2	2	2	695662005
socks	2	2	2	2	695662007
socks	2	2	2	2	836809005
socks	2	2	2	2	836809004
socks	2	2	2	2	695662001
socks	2	2	2	2	807241001
socks	2	2	2	2	807241060
solid jacket	2	2	2	2	849095001
solid jacket	2	2	2	2	849095002
solid jacket	2	2	1	2	548793002
solid jacket	2	2	2	2	584927001
solid jacket	2	2	2	2	659816001
solid jacket	2	2	2	2	659816002
solid jacket	2	2	2	2	637316001
solid jacket	2	2	2	2	584927003
solid jacket	2	2	2	2	637316002
solid jacket	2	2	2	2	703296005
sports utility wear	1	1	0	0	583554002
sports utility wear	1	1	2	0	666656003
sports utility wear	0	1	0	0	823365002
sports utility wear	1	1	0	0	926266001
sports utility wear	0	0	0	0	859081002
sports utility wear	0	0	0	0	752571001
sports utility wear	0	1	2	0	806964002
sports utility wear	1	1	0	0	823365001
sports utility wear	0	1	0	0	823420002
sports utility wear	2	1	2	2	914893001
sweat pants	2	2	2	2	594177001
sweat pants	1	2	2	2	795244002
sweat pants	1	2	2	2	364297030
sweat pants	2	2	2	2	898045002
sweat pants	1	2	2	2	594177013
sweat pants	2	2	2	2	554867007
sweat pants	2	2	2	2	594177008
sweat pants	1	2	2	2	364297018
sweat pants	2	2	2	2	705330006
sweat pants	1	2	2	2	364297025
sweatpants	2	2	2	2	547780003
sweatpants	2	2	2	2	705330003
sweatpants	2	2	2	2	869158003
sweatpants	2	2	2	2	869158007
sweatpants	2	2	2	2	547780002
sweatpants	2	2	2	2	547780046
sweatpants	2	2	2	2	547780001
